,ResponseId,MainBranch,Employment,RemoteWork,EdLevel,YearsCode,OrgSize,Country,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,WorkExp,ConvertedCompYearly
11,12,1,1,1,1,3,1,1,1,1,No,Straight / Heterosexual,1,1,2.0,194400
12,13,2,2,2,1,3,2,1,2,1,No,Straight / Heterosexual,1,1,1.0,65000
14,15,2,1,1,2,3,3,1,2,1,No,Straight / Heterosexual,1,1,1.0,110000
21,22,2,2,2,2,2,1,2,2,1,No,Straight / Heterosexual,2,1,0.0,34126
22,23,2,2,1,3,5,4,3,1,1,No,Straight / Heterosexual,3,1,4.0,97605
25,26,2,2,2,2,4,1,4,2,1,No,Straight / Heterosexual,4,1,1.0,90647
28,29,2,2,2,2,4,5,1,1,1,No,Straight / Heterosexual,5,1,2.0,130000
29,30,2,1,1,2,5,6,5,3,1,No,Straight / Heterosexual,1,1,4.0,238257
31,32,2,2,1,1,5,5,1,4,1,No,Straight / Heterosexual,6,1,4.0,102000
34,35,2,3,1,2,2,4,6,2,1,No,Straight / Heterosexual,2,1,1.0,83256
41,42,2,2,2,4,1,1,7,5,1,No,Straight / Heterosexual,6,1,0.0,68160
45,46,2,2,2,2,1,7,8,2,1,No,Straight / Heterosexual,7,1,0.0,5124
48,49,2,2,2,5,5,1,4,4,1,No,Straight / Heterosexual,2,1,4.0,106644
51,52,2,2,2,1,2,1,6,2,1,No,Straight / Heterosexual,4,1,0.0,38856
54,55,2,2,2,1,3,1,9,2,1,No,Prefer not to say,1,1,1.0,103705
57,58,2,2,2,1,4,1,10,2,1,No,Gay or Lesbian,2,2,1.0,46704
59,60,2,2,2,1,1,4,4,2,2,No,Bisexual,2,1,0.0,63986
60,61,2,2,1,1,4,2,3,2,1,No,Straight / Heterosexual,3,1,0.0,66372
66,67,2,2,3,2,5,8,11,3,1,No,Straight / Heterosexual,8,1,3.0,24924
73,74,2,2,2,1,2,5,4,5,1,No,Straight / Heterosexual,2,1,1.0,63986
76,77,2,2,1,2,5,7,1,1,1,No,Straight / Heterosexual,1,1,4.0,160000
83,84,1,2,1,5,5,4,13,1,1,No,Straight / Heterosexual,9,1,4.0,150000
84,85,2,2,1,1,3,1,14,2,1,No,Straight / Heterosexual,1,1,1.0,69102
85,86,2,2,2,1,2,4,1,2,1,No,Straight / Heterosexual,1,1,1.0,95000
89,90,2,2,3,1,4,8,16,2,1,No,Straight / Heterosexual,2,1,1.0,57288
90,91,1,2,1,2,2,1,12,2,1,No,Straight / Heterosexual,4,1,1.0,63986
91,92,2,2,2,2,5,4,12,1,1,No,Straight / Heterosexual,2,1,3.0,63986
93,94,2,2,1,2,2,9,1,2,2,No,Straight / Heterosexual,8,1,1.0,166000
97,98,2,3,1,5,5,4,1,1,1,No,Straight / Heterosexual,1,1,4.0,238257
101,102,2,1,2,2,2,5,4,2,1,No,Straight / Heterosexual,2,1,0.0,79983
